size,p,patch,mean_runtime
900,20,20,0.4367
900,20,21,0.4279
900,20,22,0.4267
900,20,23,0.4325
900,20,24,0.4321
900,20,25,0.4261
900,20,26,0.4196
900,20,27,0.4261
900,20,28,0.4269
900,20,29,0.4336
900,20,30,0.4330
900,20,31,0.4248
900,20,32,0.4487
900,20,33,0.4269
900,20,34,0.4412
900,20,35,0.4379
900,20,36,0.4374
900,20,37,0.4458
900,20,38,0.4412
900,20,39,0.4443
900,20,40,0.4643
900,20,41,0.4323
900,20,42,0.4578
900,20,43,0.4605
900,20,44,0.4492
900,20,45,0.4505
900,20,46,0.4515
900,20,47,0.4691
900,20,48,0.4726
900,20,49,0.4416
900,20,50,0.4499
900,20,51,0.4723
900,20,52,0.4699
900,20,53,0.4658
900,20,54,0.4649
900,20,55,0.4525
900,20,56,0.4704
900,20,57,0.4827
900,20,58,0.4880
900,20,59,0.4758
900,20,60,0.4529
